country,waste_generation_kg_day,plastic_waste_generation_kg_day
Albania,1948510,174392
Algeria,19867896,2374214
Angola,1819220,235589
Anguilla,30578,3654
Antigua and Barbuda,367637,43933
Argentina,20068079,3000178
Aruba,289611,34609
Australia,38436177,1902591
Bahamas,1108721,132492
Bahrain,817931,97743
Bangladesh,30475873,2422832
Barbados,1314724,157110
Belgium,6314783,375730
Belize,580971,34568
Benin,1747126,138896
Bermuda,140629,16805
Bosnia and Herzegovina,702698,83972
Brazil,76937674,12271559
British Virgin Islands,62315,7447
Brunei,313088,9236
Bulgaria,1283450,153372
Burma Myanmar,8354950,1416164
Cambodia,834752,91405
Cameroon,1529777,91022
Canada,27603191,1090326
Cape Verde,261123,33815
Cayman Islands,108914,13015
Channel Islands,322039,38484
Chile,6071274,664805
China,289181626,31665388
Christmas Island,2944,352
Cocos Islands,1252,150
Colombia,8998276,1075294
Comoros,2093067,187329
Congo Rep of,449338,58189
Congo Dem rep. of,538028,48154
Cook Islands,25121,3002
Costa Rica,3371845,638965
Cote D Ivoire,4922161,637420
Croatia,3365842,402218
Cuba,9180112,1005222
Curacao,301946,36083
Cyprus,1739951,207924
Denmark,12580743,245324
Dhekelia,32970,3940
Djibouti,491178,63608
Dominica,86971,10393
Dominican Republic,9879103,1180553
East Timor,528312,68416
Ecuador,7232054,936551
Egypt,29798792,3858944
El Salvador,7244120,938114
Equatorial Guinea,421920,50419
Eritrea,633111,56663
Estonia,1290691,154238
Falkland Islands,5464,653
Faroe Islands,106163,12687
Fiji,1881905,168430
Finland,6235946,682836
France,33191578,3302562
French Guiana,201157,24038
French Polynesia,568298,67912
Gabon,388048,46372
Georgia,1899981,75049
Germany,18646144,4279290
Ghana,6104885,302192
Gibraltar,70314,8403
Greece,19589404,1949146
Greenland,119843,14321
Grenada,260488,31128
Guadeloupe,559399,66848
Guam,400699,47884
Guatemala,4784884,667491
Guernsey,118207,14126
Guinea,1197898,59296
Guinea-Bissau,724864,64875
Guyana,2735543,299542
Haiti,9155693,819435
Honduras,4820009,624191
Hong Kong,15070417,3006548
Iceland,456624,81964
India,63747767,1880559
Indonesia,97356208,10660505
Iran,10919634,1304896
Iraq,504990,65396
Ireland,13423482,1604106
Isle of Man,170566,20383
Israel,14156957,1974896
Italy,75424246,4487743
Jamaica,507700,96209
Japan,197041404,19605620
Jersey,189160,22605
Jordan,66470,7943
Kenya,818984,73299
Kiribati,74645,9666
"Korea, North",10396490,930486
"Korea, South (Republic of Korea)",51651728,4622830
Kuwait,13119415,1567770
Latvia,1475040,176267
Lebanon,4591228,365003
Liberia,1288963,179810
Libya,4860154,580788
Lithuania,488283,58350
Macao,379129,94593
Madagascar,5649930,110174
Malaysia,34793183,4505717
Maldives,973566,126077
Malta,720378,86085
Marshall Islands,69703,11118
Martinique,844740,100946
Mauritania,502741,44995
Mauritius,2888690,287425
Mexico,28083236,1951785
Micronesia,122367,15847
Monaco,71505,8545
Montenegro,312403,37332
Montserrat,6208,742
Morocco,25263009,1250519
Mozambique,1339318,146655
Namibia,186101,22239
Nauru,18347,2192
Netherlands,19020152,3794520
Netherlands Antilles,477047,57007
New Caledonia,541598,64721
New Zealand,14212359,1272006
Nicaragua,3830918,496104
Nigeria,21706918,2811046
Niue,3778,451
Norfolk Island,1703,221
Northern Mariana Islands,223138,26665
Norway,11568701,1151086
Oman,1818289,217286
Pakistan,11519742,1491807
Palau,28135,3362
Palestine (Gaza Strip is only part on the coast),2405754,191257
Panama,3931933,469866
Papua New Guinea,2170536,281084
Peru,16518730,1973988
Philippines,41723431,6237653
Poland,2880181,315380
Portugal,18802572,2246907
Puerto Rico,8924681,1066499
Qatar,868499,103786
Reunion,971311,116072
Romania,910177,35952
Russia,10055659,1201651
Saint Helena,8207,981
Saint Kitts and Nevis,196756,23512
Saint Lucia,710037,84849
"Saint Maarten, DWI",78601,9393
Saint Pierre,12365,1478
Saint Vincent and the Grenadines,204253,26451
Samoa,132740,17190
Sao Tome and Principe,129355,16751
Saudi Arabia,4671512,558246
Senegal,6418800,831235
Seychelles,272256,32535
Sierra Leone,1299158,116275
Singapore,6693816,866849
Slovenia,407279,48670
Solomon Islands,488756,63294
Somalia,3582701,320652
South Africa,25798402,3082909
Spain,48503269,6281173
Sri Lanka,74297687,5163689
Sudan,594498,76987
Suriname,547078,65376
Svalbard,1759,228
Sweden,9985597,294575
Syria,4962136,642597
Taiwan,46644291,5573993
Tanzania,1739061,155646
Thailand,31252130,3734630
The Gambia,701833,62814
Togo,1035654,113404
Tokelau,1089,141
Tonga,381655,22708
Trinidad and Tobago,19561435,4880578
Tunisia,8729968,1043231
Turkey,60255866,7200576
Turks and Caicos Islands,47397,5664
Tuvalu,13876,1658
Ukraine,5382111,696983
United Arab Emirates,3350381,400371
United Kingdom,77433411,9253293
United States,291346588,37729383
Uruguay,5110554,610711
USVI,281860,33682
Vanuatu,826071,73933
Venezuela,33799284,4039014
Vietnam,44128014,5714578
Yemen,4778647,618835
